#;ID;UCID;Name;Website;Description;Geographical extent;"Geographic coverage
Country";"Geographic coverage 
NUTS 2021";"Responsible
Organization";"Responsible 
Organization 
Category";"Functions of Government 
(COFOG level I)";"Functions of Government 
(COFOG level II)";Status;Start Year;End Year;2020 AI Classification (deprecated);Process Type;Application Type;Technology;CrossSector;CrossBorder;Uptake;Interaction;Use Type;Improved Public Service;Personalized Services;Public (citizen)-centered services;Increase quality of PSI and services;More responsive, efficient, and cost-effective public services;New services or channels;Improved Administration;Improved Administrative Efficiency;Cost-reduction;Responsiveness of government operation;Improved management of public resources;Increased quality of processes and systems;Better collaboration and better communication;Reduced or eliminate the risk of corruption and abuse of the law by public servants;Enabled greater fairness, honesty, equality;Open government capabilities;Increased transparency of public sector operations;Increased public participation in government actions and policy making;Improved public control and influence on government actions and policies;Source
1;889;AIWT6-889;TrueBee (Digital forensics and blockchain technology against deceptive deepfake imaging in social media);https://www.trublo.eu/;The project (part of subcall of EU Project Troublo) intends to combine artificial intelligence tools for the recognition and classification of false images and a blockchain system to create a register, where the classification can be indelibly saved. This register must then be made accessible so that it can be consulted for any doubts in distinguishing real images from falsified images. The TrueBees project was among the winners (fifteen selected out of 90 applications from all over Europe) of the call launched by Trublo. Trublo is part of the European NGI (Next Generation Internet) initiative, funded under the Horizon 2020 program, to promote studies on how new technologies, and in particular blockchain, can revolutionize the media sector. Trublo supports the launch of industry research projects for the development of new software, platforms or tools. The term blockchain technologies indicates a set of traceability techniques that allow to retrace and reconstruct the processing chain, the life cycle of the multimedia data, through the traces left by the acquisition system, the encoding and re-encoding of the signal, but also to shed light on provenance, manipulation and sharing on social networks. ;Across Countries;Italy;IT;University of Trento;Academic-Research;General public services;General services.;In development;2021;;;Adjudication;Managing Copyright and IPR ;Blockchain;No;No;No;G2C;Smart city;Improved Public Service;;x;x;;x;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.ladige.it/tecnologia/2021/12/21/ecco-come-smascherare-le-foto-false-sui-social-un-progetto-all-universita-di-trento-1.3087750
2;10001;IPSO-10001;Nidi Gratis: Public Service for Free Nursery ;https://nidigratis.blockchainregionelombardia.it/;A public service, using blockchain technologies, which offers families from deprived backgrounds free access to childcare for children up to the age of 3.;Regional;Italy;IT;Regione Lombardia;Regional Government;Social protection;Family and children.;Implemented;2019;;;Public services and engagement;Financial management and support ;Blockchain;No;No;Yes;G2C;Disintermediation and decentralised networks;Improved Public Service;;x;;x;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;x;;;Open Innovation Regione Lombardia
3;10002;IPSO-10002;Lombardia supply chain traceability system;https://filiera.blockchainregionelombardia.it/;"The experiment ""Blockchain applied to the traceability of food of animal origin"" was born within the Triennial Strategic Program for Research, Innovation and Technology Transfer approved by the Lombardy Region, which provides driving initiatives for the development of the Lombard system, including also the use of frontier ICT such as Blockchain.";Regional;Italy;IT;Regione Lombardia;Regional Government;Economic affairs;Agriculture, forestry, fishing and hunting;Pilot;2019;;;Public services and engagement;Tracking of goods and assets along the supply chain ;Blockchain;No;No;Yes;G2C;Tracking of goods, supply chain, iot;Improved Public Service;;;;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;x;;;Open Innovation Regione Lombardia
4;19001;IPSO-19001;Project PININ: agri-food products tracking throughout the whole supply chain;https://www.csipiemonte.it/en/project/pinin;The project aims to build a distributed and decentralized infrastructure based on blockchain for agri-food products tracking throughout the whole supply chain. CSI is one of the partner, together with the University of Turin and Consoft Sistemi. Currently, the automated traceability data collection systems adopted by agri-food companies are different and not homogeneous. There are many applications that penalize the supply chain efficiency, the traced data accuracy and the individual user experience. Users who are forced to use different sites or apps manually inputting the product lot code.;National;Italy;IT;CSI Piemonte (Inhouse ICT of Regione Piemonte - Italy);Regional Government;Economic affairs;Agriculture, forestry, fishing and hunting;In development;2018;2022;;Public services and engagement;Tracking of goods and assets along the supply chain ;Blockchain;No;No;No;G2B;Tracking of goods, supply chain, iot;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;x;;;www.csipiemonte.it
5;19002;IPSO-19002;BLINC: BLockchain INclusive for digital Citizenships;https://www.csipiemonte.it/en/project/blinc;The project aims to create a virtual document wallet that contains self-generated certificates together with documents generated by private and public services with which the immigrant comes into contact. The wallet will be designed mainly for mobile use and, at the same time, accessible from any other networked device.  Another fundamental aspect will be the granular management of privacy, not intended as a discriminating index, but as an opportunity to collect traces that will allow immigrants to accelerate their social inclusion, certifications that encourage hospitality by private individuals free of charge or in shared apartments.;Across Countries;Italy;IT;CSI Piemonte (Inhouse ICT of Regione Piemonte - Italy);Regional Government;General public services;General services.;Pilot;2017;2019;;Enforcement;Certification and validation processes;Blockchain;Yes;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;x;;;www.csipiemonte.it
6;40001;IPSO-40001;Blockcerts academic credentials;https://newsbook.com.mt/en/malta-first-to-introduce-blockcerts-for-academic-credentials/;In October 2017, the Maltese government has launched a project that develops academic credentials verification using blockchain technology. The Ministry for Education and Employment (MEDE) of Malta decided to use the Blockcerts open standard for management of academic records. Blockcerts provides all aspects of the value chain: creation, issuing, viewing, and verification of the certificates, and uses blockchain technology as the infrastructure. The Proof of Concept was initiated to create a verifiable proof of education for citizens.;National;Malta;MT;Ministry for Education and Employment;Central-Government;Education;General services.;Pilot;2017;;;Enforcement;Certification and validation processes;Blockchain;No;Yes;Yes;G2C;Disintermediation and decentralised networks;Improved Public Service;;;;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;Blockchain for digital government - An assessment of pioneering implementations in public services
7;40002;IPSO-40002;The Land Registry in the blockchain - testbed;http://chromaway.com/solutions;In real estate the value at stake is high, highlighting the importance of security and transparency of property transactions. Currently, transaction settlement in real estate is slow, costly and exposed to various business risks, including contested property deeds. This project attempts to tackle both the distrust between parties in real estate transfers and the speed of transactions. The project was initiated in September 2016 by the Swedish Mapping, Cadaster and Land Registration Authority, Landshypotek Bank, SBAB, Telia, Chromaway and Kairos Future. The project was set-up to redefine real estate transactions and mortgage deeds.;National;Sweden;SE;Mapping, Cadaster and Land Registration Authority;Central-Government;General public services;General services.;In development;2016;;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;No;G2C;Tracking of goods, supply chain, iot;Improved Public Service;;X;X;X;X;FALSO;FALSO;;;;;;;;FALSO;;;;Blockchain for digital government - An assessment of pioneering implementations in public services
8;40003;IPSO-40003;uPort decentralised identity;https://www.uport.me/;The City of Zug has launched a government-issued identity on the Ethereum blockchain, called uPort. The aim of the project is to provide a trusted and self-reliant blockchain-based identity to authenticate for e-government services and share personal data with third parties. The project itself does not focus on developing public services that would use the blockchain-based identity. From the citizen's perspective the Uport service allows for a selective disclosure of specific information to particular companies or governmental institutions giving citizens a full control and de facto ownership over their personal data. uPort project has split into two new projects, Serto and Veramo, both of which carry on the mission of decentralizing the internet and returning control of data to individuals.;Local;Switzerland;CH;Municipality of Zug;Local Government;General public services;General services.;In development;2017;;;Public services and engagement;Authentication of self-sovereign Digital ID services;Blockchain;Yes;No;Yes;G2C;Self-sovereign digital identity;Improved Public Service;;X;X;;;FALSO;FALSO;;;;;;;;FALSO;;;;Blockchain for digital government - An assessment of pioneering In developments in public services
9;40004;IPSO-40004;Infrachain governance framework;https://digital-luxembourg.public.lu/initiatives/infrachain;Infrachain is a non-profit organisation, launched in November 2016 in Luxembourg. The aim of the organisation is to support the creation of independent and incorruptible nodes involved in the operation of blockchain instances. Infrachain develops a governance layer placed on top of existing and future permissioned blockchains. The Infrachain governance framework gives attention to privacy protection, cyber-security, law enforcement and business continuity to the same degree as centralized systems. The framework postulates a separation of service and network layers and the establishment of a reference blockchain infrastructure, composed of independent nodes, hosting different public and private services.;National;Luxembourg;LU;Infrachain;Non-governmental;General public services;General services.;In development;2016;;;Internal management;Internal management processes;Blockchain;No;Yes;Yes;G2G;Governance and voting;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;X;;X;X;X;;X;Open government capabilities;X;;;Blockchain for digital government - An assessment of pioneering implementations in public services
10;40005;IPSO-40005;Pension infrastructure;https://medium.com/@nathaliedrost/future-of-pensions-9115ebb7926c;The Pension Infrastructure (PI) is a complete community-based pension administration blockchain back-office. The aim of the project is to realize a more flexible and transparent pension administration system for citizens, while reducing significantly pension management costs. The project was initiated on the notion of the large similarities between blockchain payments and pension administration. In both systems actors have a personal balance and transactions between the balances occur.;National;Netherlands;NL;APG;Central-Government;Social protection;Old age.;Pilot;2018;;;Public services and engagement;Financial management and support ;Blockchain;No;No;Yes;G2C;Process digitalisation;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;Blockchain for digital government - An assessment of pioneering implementations in public services
