Column,Type,Values,Publishing,Primary key,Mandatory,Note,Link to the classification,,,,,,,,,,,
UCID,UUID,,yes,yes,yes,Unique ID,,,,,,,,,,,,
Name,Text,,yes,no,yes,,,,,,,,,,,,,
Website,Text,,yes,no,yes,,,,,,,,,,,,,
Contact,Text,,no,no,no,"The reference contact of the case: must be first name + last name + organization with an email, or worst case with a phone number",,,,,,,,,,,,
Description,Text,,yes,no,yes,,,,,,,,,,,,,
Geographical extent,List,_admlevel,no,no,yes,"This layer defines the administrative level where the case is being deployed. This indicator follows the administrative tiers as identified by Nomenclature of Territorial Units for Statistics (NUTS). It must be considered that some countries have 4 or 5 identified administrative tiers (and others 1-2), but we keep it at 3 levels. It mostly depends on the jurisdiction of the implementing authority:ÿCentral / National Government: Political authority of the administration extends over the entire country  ; Regional / Provincial: Political authority which takes place of a particular region in the country. This is bigger than local administrations and often are provinces or states (in a federal government system).  ;  Local: Political authority of a local sphere, such as municipalities. Please note that the Listes file also lists ?multiple countries? and university. Later in the study, multi countries implementations should have a specific indicator with the leading (first mover) being highlighted in the first row. Universities should be excluded fully ? we are targeting the use of AI in government ? not the development of them in universities. https://ipsoeu.github.io/taxonomy/organisation-category/2019",,,,,,,,,,,,
"Geographic coverage
Country",List,_country,yes,no,yes,"Only one country is admissible (the main one to which the case is referring to).  EU, EEA, EFTA, Schengen?countries. (Others?) as defined by ISO. This is the property highlighting the country where the initiative takes place. Obviously, there is some overlap here between the NUTS code and the country, but country level is very useful for distribution and quickly finding in which country the initiative takes place.",,,,,,,,,,,,
"Geographic coverage 
NUTS 2021",List,"Geographic coverage 
NUTS 2021",yes,no,yes,"The most precise?NUTSÿcode till level 2. This is a recent property introduced to assist in geographic analysis and searching to find some of the cases. Specific information on the location is only more crucial if the administrative level of the case is either provincial or local. There is no need to highlight e.g. the city of a ministry in case the administrative coverage is ?national?. Then, the country NUTS code is sufficient. ",link,,,,,,,,,,,
Responsible Organization,Text,,no,no,no,"The name of the organisation must be in English (with translation in original language) and must?be enough explanatory to identify precisely the organisation.ÿE.g.?""Government of Austria, department of?agriculture"". If needed, a?url?of the organisation could beÿadded.?ÿThis is the column where the AI case is being used. It is the public organisation responsible for the case or that is using the case (in case for example of adoption of industry customized products). Often they are the same, but it is possible that a private company makes an AI tool for the public sector. Thus this is not the developing company of the AI tool and a public sector organization should be added in this column.  ",,,,,,,,,,,,
Responsible Organization Category,List,_orgtype,no,no,no,"From Citizen Science list, rearranged by JRC own elaboration",,,,,,,,,,,,
COFOG level I,List,_cogof1,yes,no,yes,"This property shows the primary policy sector in which the AI initiative is taking place, following the COFOG criteria.ÿÿ",,,,,,,,,,,,
COFOG level II,List,_cofog2,yes,no,yes,"This is the more specific and advanced COFOG property. They should correlate with the primary sector in the previous one. This isÿmore trickyÿto highlight as some of the cases could overlap with the secondary categorization. Therefore, it is better to make sure the first COFOG is very clear and the second COFOG level as the ?best option?.ÿ",,,,,,,,,,,,
Status,List,_stat,,,yes,,,,,,,,,,,,,
Start year,Text,,,,yes,,,,,,,,,,,,,
End year,Text,,,,,,,,,,,,,,,,,
AI Classification (I),List,AI Classification (I),yes,no,,One of the classification terms of AI Watch (Level I),,,,,,,,,,,,
AI Classification Subdomain (II),List,_aisubdom,yes,no,,One of the classification terms of AI Watch (Level II),,,,,,,,,,,,
AI Keywords (III),List,,,,,,,,,,,,,,,,,
Application Type,List,Application Type (OLD),no,no,yes,comes from IPSO cases  (was PS Subdomain) then adapted to at least representing BC and AI cases,,,,,,,,,,,,
"Process
Type",List,Process Type,,,,"This indicator is a first type of Algorithmic Governance (Engstroem, Stanford) classification inside the PS. AI Solution are classified by on how they support government decision making and implementation in certain type of common processes. This value came from the typology of governance tasks to which agencies are applying AI made by Engstrom, Stanford University. Seems could be applied to every digital tecnology. https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551505",link,,,,,,,,,,,
Recipient Type,List,Interaction Type,,no,,"Type of services classificated by interaction (G2C, G2G, G2B)",,,,,,,,,,,,
Data Scope 1,List,Data Scope 1,,no,yes,two categories: realtime (including actual data) or historical data,https://bdva.eu/sites/default/files/BDVA_SRIA_v4_Ed1.1.pdf,,,,,,,,,,,
Data Scope 2,List,Data Scope 2,,no,no,"A second level has been added to describe when Location data (information related to objects or elements present in a geographic space or horizon) and Service data (any information and data relating to the access, use, and/or performance of the Service) are also relevant for the making of the case",,,,,,,,,,,,
Public Service Value,List,,no,no,no,"The public value of e-government is understood as citizens' expectations from e-government, a Public value-perspective is important in the implementation and success of e-government, understanding the public value of e-government should facilitate successful implementations. There are six dimensions of the public value of e-government were identified & generalized into three.",https://www.sciencedirect.com/science/article/pii/S0740624X1730196X,,,,,,,,,,,
Source,Text,,no,no,no,"It is a text string that indicated how the case was retrieved.ÿE.g.ÿSurvey <name of the survey> from?<date> to <date>, Workshop <name of the workshop> <date of the workshop>, desk research <url,?publication, etc> <date of the initialÿinput to the table>, email from <from> to <to> on <date of the email,?document <name of the document>???ÿ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source:,"Mix of several legacy (PS type, Use type, other adaptations)",,,,,,,,,,,,,,,,,
Semantic check question:,What activity does the technology support?ÿ,,,,,,,,,,,,,,,,,
Application/Activity Type ,,,,,,,,,,,,,,,,,,
Value,Definition,,,,,,,,,,,,,,,,,
Management of auditing and logging,"Collection of records, and/or destination and source of records that provide documentary evidence of the sequence of activities that have affected at any time a specific operation, procedure, event, or device",,,,,,,,,,,,,,,,,
Taking decisions on benefits  ,"Processes within the public sector used for making decisions regarding  approval, validation or revocation benefits (e.g. social)",,,,,,,,,,,,,,,,,
Facilitating internal organisation procedures ,Internal procedures in the public sector are linked to the provision of services or linked to internal organization and operations,,,,,,,,,,,,,,,,,
Certification and validation processes,The process of providing someone or something with an official document attesting or validate a status or a certain right,,,,,,,,,,,,,,,,,
Managing Copyright and IPR ,"Processes within the public sector used for making decisions regarding concessions, demonstration or revocation of rights",,,,,,,,,,,,,,,,,
Facilitating cross-organisation internal processes ,"Internal public sector processes involving multiple organizations, even at different government levels (e.g. control system provided by a national public agency to local municipalities)",,,,,,,,,,,,,,,,,
Improving Cybersecurity ,"Cyber security is the application of technologies, processes and controls to protect systems, networks, programs, devices and data from cyber attacks",,,,,,,,,,,,,,,,,
Data Sharing Management,"Data reuse processes are supporting accesses to PS data, considering interoperability and data licensing",,,,,,,,,,,,,,,,,
Supporting disintermediation ,"Applications that are adopting decentralized network architecture distributes workloads among several machines, instead of relying on a single central server",,,,,,,,,,,,,,,,,
Engagement management,Create connections with citizen and business to build trust at every point in their PS journeys throughout the customer relationship estabilished,,,,,,,,,,,,,,,,,
Financial management and support ,"Management of an organization's finances (spending, taxes, budget) so that governmental activities are compliant with necessary regulations and are successful in their field. The process involves high-level planning and proper execution",,,,,,,,,,,,,,,,,
Governance and voting ,Management of governance process or voting processes,,,,,,,,,,,,,,,,,
Information analysis processes,"Information analysis is the process of inspecting, transforming, and modelling information. It is made by converting raw data into actionable knowledge in order to support the PS decision-making process",,,,,,,,,,,,,,,,,
Supporting inspection processes,"Supporting processes used to identify wrong doing  or mistake before to a subsequent deliverable (e.g. tax positions, businesses registered correctly)",,,,,,,,,,,,,,,,,
Monitoring policy implementation ,"Processes by which stakeholders follow and assess policies to ensure they are developed, endorsed, enacted, and implemented",,,,,,,,,,,,,,,,,
Payments and international transactions ,Systems to support payments and international transactions,,,,,,,,,,,,,,,,,
Prediction and planning ,"Management of resources available with prediction models (typically AI based), providing request predictions from defined models and predicted target values for them in order to support planning",,,,,,,,,,,,,,,,,
