"Geographic coverage
Country",Geographical extent,"Geographic coverage 
NUTS 2021","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)","Responsible 
Organization 
Category",AI Classification (I),AI Classification Subdomain (II),AI Keywords (III),"Process
Type",Application Type,"Dimensions of value
Twizeyimana & Andersson, 2019",Sub-dimension,Benefit,Status,Data Scope,Interaction
Albania,National,BE,Defence,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Central-Government,Reasoning,Knowledge representation,"case-based reasoning;
inductive programming;
causal inference;
information theory;
causal models;
knowledge representation & reasoning;
common-sense reasoning;
latent variable models;
expert system;
semantic web;
fuzzy logic;
uncertainty in artificial intelligence;
graphical models;",,Taking decisions on benefits  ,Improved Public Services,,Personalized Services,In development,Dynamic Data,G2C
Andorra,Regional,BE1,Economic affairs,Foreign economic aid.,Non-governmental,Planning,Automated reasoning,"bayesian optimisation;
hierarchical task network;
constraint satisfaction;
metaheuristic optimisation;
evolutionary algorithm;
planning graph;
genetic algorithm;
stochastic optimisation;
gradient descent;",Adjudication,Managing Copyright and IPR ,,,Public (citizen)-centered services,Implemented,Historical Data,G2B
Armenia,Local,BE10,Education,General services.,Academic-Research,Learning,Common sense reasoning,"active learning;
feature extraction;
adaptive learning;
generative adversarial network;
adversarial machine learning;
generative model;
adversarial network;
multi-task learning;
anomaly detection;
neural network;
artificial neural network;
pattern recognition;
automated machine learning;
probabilistic learning;
automatic classification;
probabilistic model;
automatic recognition;
recommender system;
bagging;
recurrent neural network;
bayesian modelling;
recursive neural network;
boosting;
reinforcement learning;
classification;
semi-supervised learning;
clustering;
statistical learning;
collaborative filtering;
statistical relational learning;
content-based filtering;
supervised learning;
convolutional neural network;
support vector machine;
data mining;
transfer learning;
deep learning;
unstructured data;
deep neural network;
unsupervised learning;
ensemble method;",,Monitoring policy implementation,,,Increase quality of public information and services,Not in use anymore,Streaming Data,G2G
Austria,Across Countries,BE100,Environmental protection,Basic research.,Private sector,Communication,Planning and Scheduling,"chatbot;
natural language generation;
computational linguistics;
machine translation;
conversation model;
question answering;
coreference resolution;
sentiment analysis;
information extraction;
text classification;
information retrieval;
text mining;
natural language understanding;","Analysis, monitoring and regulatory research",Innovating Public Policy ,,,"More responsive, efficient, and cost-effective public services",Pilot,Location Data,
Azerbaijan,European,BE2,General public services,R&D general public services.,Community led,Perception,Searching,"action recognition;
object recognition;
face recognition;
recognition technology;
gesture recognition;
sensor network;
image processing;
visual search;
image retrieval;",,Information analysis processes,,,New services or channels,Planned,,
Belarus,,BE21,Health,General public services n.e.c.,Consortium,Integration and Interaction,Optimisation,"computational auditory scene analysis;
sound synthesis;
music information retrieval;
speaker identification;
sound description;
speech processing;
sound event recognition;
speech recognition;
sound source separation;
speech synthesis;",,Prediction and planning ,Improved Administration,Improved Administrative Efficiency,Cost-reduction,,,
Belgium,,BE211,Housing and community amenities,Public debt transactions.,Local Government,Services,Machine learning,"agent-based modelling;
negotiation algorithm;
agreement technologies;
network intelligence;
computational economics;
q-learning;
game theory;
swarm intelligence;
intelligent agent;",,Management of auditing and logging,,,Responsiveness of government operation,,,
Bosnia and Herzegovina,,BE212,Public order and safety,Transfers of a general character between different levels of government.,Regional Government,Ethics and Philosophy,Natural language processing,"cognitive system;
robot system;
control theory;
service robot;
human-ai interaction;
social robot;
industrial robot;",,Certification and validation processes,,,Improved management of public resources,,,
Bulgaria,,BE213,"Recreation, culture and religion",Military defence.,,,Computer vision,"autonomous driving;
self-driving car;
autonomous system;
unmanned vehicle;
autonomous vehicle;",,Improving Cybersecurity ,,,Increased quality of processes and systems,,,
Croatia,,BE22,Social protection,Civil defence.,,,Audio processing,"ai application;
intelligence software;
ai benchmark;
intelligent control;
ai competition;
intelligent control system;
ai software toolkit;
intelligent hardware development;
analytics platform;
intelligent software development;
big data;
intelligent user interface;
business intelligence;
internet of things;
central processing unit;
machine learning framework;
computational creativity;
machine learning library;
computational neuroscience;
machine learning platform;
data analytics;
personal assistant;
decision analytics;
platform as a service;
decision support;
tensor processing unit;
distributed computing;
virtual environment;",Enforcement,Predictive enforcement processes,,,Better collaboration and better communication,,,
