entry_type,c_id,c_name,c_url,c_contact,c_description,c_publisher,c_country,c_type,c_year
catalog,10001,"Open Innovation Regione Lombardia",https://www.openinnovation.regione.lombardia.it/,,"Platform of Regione Lombardia, aimed at all actors of innovation processes in companies, research centers, public administrations, civil society and all citizens who want to play an active role in research and innovation policies.","Regione Lombardia",Italy,Catalogue,2020
catalog,10002,api.gouv.fr,https://api.gouv.fr/,,"Catalogue of APIs used by the French public administration. The catalogue includes also the list public services using such APIs.",DINUM,France,Catalogue,2020
catalog,10003,"Developers Italia",https://developers.italia.it/,,"Developers Italia is the community dedicated to the development of Open Source Software to support Italian digital public services. It collects a large amount of libraries and SDK, as well as test environments, code examples and clear documentation aimed at simplifying the integration of the national enabling platforms within digital services.","Agenzia per l'Italia Digitale",Italy,Catalogue,2020
catalog,10004,"Blockchain for digital government - An assessment of pioneering implementations in public services",https://doi.org/10.2760/942739,,"The publication, carried out in the framework of the the ISA² ELISE Action, analyses seven blockchain-based services developed in Europe, with an active participation of public authorities from both national and local levels.","European Commission","European Union","Desk research",2019
catalog,10005,"EU Blockchain Observatory and Forum - Initiatives Map",https://www.eublockchainforum.eu/initiative-map,,"The European Union Blockchain Observatory and Forum aims to accelerate blockchain innovation and the development of the blockchain ecosystem within the EU, and so help cement Europe’s position as a global leader in this transformative new technology. The Web site includes a map of existing initiatives.","EU Blockchain Observatory and Forum","European Union",Catalogue,2020
catalog,10006,"APIs4DGov government publicly available API cases",http://data.europa.eu/89h/45ca8d82-ac31-4360-b3a1-ba43b0b07377,mailto:jrc-apis4dgov@ec.europa.eu,"This list contains the government API cases collected, cleaned and analysed in the APIs4DGov study ""Web API landscape: relevant general purpose ICT standards, technical specifications and terms"".","European Commission","European Union","Desk research",2019
catalog,10007,"Emerging technologies in public procurement",https://ec.europa.eu/growth/single-market/public-procurement/digital/emerging-technologies_en,mailto:grow-g4@ec.europa.eu,"Emerging technologies can transform public procurement. From automating repetitive administrative tasks to providing unprecedented information and analysis regarding spending patterns and project results, new technology can enable better decisions, lower costs, and increase transparency.","European Commission","European Union","Desk research",2020
catalog,10008,"AI-ROBOTICS vs COVID-19 initiative of the European AI Alliance",https://ec.europa.eu/digital-single-market/en/news/join-ai-robotics-vs-covid-19-initiative-european-ai-alliance,,"The European Commission launches an initiative to collect ideas about deployable Artificial Intelligence (AI) and Robotics solutions as well as information on other initiatives that could help face the ongoing COVID-19 crisis.","European Commission","European Union",Catalogue,2020
catalog,10009,"AI Watch - Artificial Intelligence in public services. Overview of the use and impact of AI in public services in the EU",https://doi.org/10.2760/039619,,"This report is published in the context of AI Watch, the European Commission knowledge service to monitor the development, uptake and impact of Artificial Intelligence (AI) for Europe, launched in December 2018 as part of the Coordinated Plan on the Development and Use of AI Made in Europe. The report presents the results of the mapping of the use of AI in support of public services in the EU. The analysis serves to contribute landscaping the current state of the art in the field, and provide a preliminary overview of Member States efforts to integrate AI in their government operations and adopt AI-enabled innovations in the public sector. From the analysis it emerges that the interest on the use of AI within governments to support redesigning governance processes and policy-making mechanisms, as well as to improve public services delivery and engagement with citizens is growing. Governments across the EU are exploring the potential of AI use to improve policy design and evaluation, while reorganising the internal management of public administrations at all levels. Indeed, when used in a responsible way, the combination of new, large data sources with advanced machine learning algorithms could radically improve the operating methods of the public sector, thus paving the way to pro-active public service delivery models and relieving resource constrained organisations from mundane and repetitive tasks.","European Commission","European Union","Desk research",2020
catalog,10010,"Joinup - Digital Response to COVID-19",https://joinup.ec.europa.eu/collection/digital-response-covid-19,,"The Digital Response to COVID-19 gives you access to a large resource database including open source software, websites, and platforms that are useful for public administrations, businesses, and citizens dealing with the ongoing crisis.","European Commission","European Union",Catalogue,2020
