entry_type,cid,id,rtype,name,url,contact,description,geoextent,geocoverage,geocoverage_codes,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,technology,uptake,cross_border,cross_sector,type,status,lead_organisation:name,lead_organisation:category
case,10001,10001,Service,"Nidi gratis",https://nidigratis.blockchainregionelombardia.it/,mailto:supporto@blockchainregionelombardia.it,"A public service, using blockchain technologies, which offers families from deprived backgrounds free access to childcare for children up to the age of 3.",Regional,Italy,IT,"Regione Lombardia",Governmental,2019,Yes,,"Social protection","Financial support",Blockchain,Small,No,Yes,"Process digitisation",Pilot,"Regione Lombardia",Governmental
case,10001,10002,Service,"Tracciabilità filiera",https://filiera.blockchainregionelombardia.it/,mailto:supporto@blockchainregionelombardia.it,"The experiment ""Blockchain applied to the traceability of food of animal origin"" was born within the Triennial Strategic Program for Research, Innovation and Technology Transfer approved by the Lombardy Region, which provides driving initiatives for the development of the Lombard system, including also the use of frontier ICT such as Blockchain.",Regional,Italy,IT,"Regione Lombardia",Governmental,2019,Yes,,"Agriculture, forestry, fishing and hunting","Control and monitoring",Blockchain,Small,No,Yes,"Tracking of goods, supply chain, iot",Pilot,"Regione Lombardia",Governmental
case,10001,10003,Service,"Chatbot Coronavirus",https://www.openinnovation.regione.lombardia.it/it/b/572/covidregioneattivachatbotsusintomieinformazioni,,"Recognize the symptoms associated with Coronavirus and receive information on the correct behaviors to be adopted: this is the goal of the new tool that since March 7 the Lombardy Region has made available to everyone on its portal. It is an automatic info-chat, or Chatbot . It allows you to access a guided path which, based on the selected symptoms, leads to the choice of the most correct actions to take , based on the guidelines of the Ministry of Health and of the international bodies responsible for managing the emergency. A tool within everyone's reach, made available by the Regional Company for Innovation and Purchasing ( ARIA SpA .) Making use of the expertise ofa team of researchers, doctors and health professionals who daily provide their support to citizens through the Paginemediche.it platform  . The contents of the answers provided via Chatbot are verified by the Lombardy Region and AREU (Regional Emergency Emergency Company). The service was immediately aroused great interest, with very high access numbers : 6,800 users chose it on the institutional portal of the Lombardy Region, 1,600 users exploited it starting from the pages of their Health Record, 770 users from the portal dedicated to the Agency regional press.",Regional,Italy,IT,"Regione Lombardia",Governmental,2020,Yes,,Health,Information,"Artificial intelligence",Large,No,No,Chatbot,"In production","Regione Lombardia",Governmental
case,10002,20001,Service,"Atelier de calcul IFT",https://alim.agriculture.gouv.fr/ift/,,"Free and anonymous, the Atelier de calcul allows you to edit & certify your IFT (Indicator of Phytopharmaceutical Treatments) calculations. It offers functionalities adapted to each use: (i) I cultivate: calculate the IFT of your treatments to save them in your phyto notebook; (ii) I advise: prepare and share IFT balance sheets for farms; (iii) I check: consult the details of the calculations of certified IFTs; (iv) I develop: access the documentation of our API and consult our source codes.",National,France,FR,"Ministère de l'Agriculture et de l'Alimentation",Governmental,2018,Yes,,"Agriculture, forestry, fishing and hunting",Certification,Api,Unknown,No,Yes,"Process digitisation","In production","Ministère de l'Agriculture et de l'Alimentation",Governmental
case,10002,20002,Service,ARPENT(examen),https://ensagri.agriculture.gouv.fr/arpent-examen/apprenant,,"ARPENT (exam) facilitates the procedures for candidates for exams in agricultural education using the interdepartmental bricks FranceConnect and Base Adresse Nationale. Personal data is automatically entered in the registration file and the entry of the simplified address!",National,France,FR,"Ministère de l'Agriculture et de l'Alimentation",Governmental,2017,Yes,,Education,Registration,Api,Unknown,No,Yes,"Process digitisation","In production","Ministère de l'Agriculture et de l'Alimentation",Governmental
case,10002,20003,Service,ARPENT(résultats),https://ensagri.agriculture.gouv.fr/arpent-resultats/,,"ARPENT (results) allows candidates for exams in agricultural education to know their results and to edit their transcript. Thanks to the Geo API, ARPENT (results) guides you along a geographical axis to find your school without having to use the map.",National,France,FR,"Ministère de l'Agriculture et de l'Alimentation",Governmental,2017,Yes,,Education,Information,Api,Unknown,No,Yes,"Process digitisation","In production","Ministère de l'Agriculture et de l'Alimentation",Governmental
case,10002,20004,Service,BourseSCO,https://bourse.beta.gouv.fr/,,"It has never been easier to apply for a scholarship online, and without supporting documents! Thanks to BourseSCO, users no longer have to provide supporting documents. After entering his information, he consents to the staff in charge of the establishment having access to his tax assessment, and it's over! On the management side, a simple and ergonomic tool allows you to manage the completeness of files and user communication without any recourse to paper. Everything is also archived and auditable. The productivity gains observed range from simple to triple compared to the manual and paper operating mode.",National,France,FR,"Ministère de l'Éducation nationale et de la Jeunesse",Governmental,2016,No,,Education,"Financial support",Api,Unknown,No,Yes,"Process digitisation",Withdrawn,"Ministère de l'Éducation nationale et de la Jeunesse",Governmental
case,10002,20005,Service,"Lyon : Mon compte",https://www.lyon.fr/demarche/loisirs/calcul-du-quotient-familial-municipal,,"The calculation of the municipal family quotient is used to obtain reductions on the price of school canteen meals in public or private schools, on the prices of Divertisport activities, Lyon Wednesdays, Friday afternoons and transplanted classes. It is determined based on income and family composition.",Local,France,FR,"Ville de Lyon",Governmental,2016,Yes,,"Executive and legislative organs, financial and fiscal affairs, external affairs","Financial support",Api,Unknown,No,No,"Process digitisation","In production","Ville de Lyon",Governmental
case,10002,20006,Service,demarches-simplifiees.fr,https://www.demarches-simplifiees.fr/,,"demarches-simplifiees.fr is an entirely online application which allows all organisations providing public service missions to create procedures in a matter of minutes and manage user requests on a dedicated platform.",National,France,FR,DINSIC,Governmental,2016,Yes,,"General public services",Procedures,Api,Unknown,No,No,"Process digitisation","In production",DINSIC,Governmental
case,10002,20007,Service,"Dossier Social Étudiant",https://www.messervices.etudiant.gouv.fr/envole/,,"By using the Individual API when requesting the EHR, students no longer have to provide their parents' proof of taxation, it is collected directly from the DGFiP.",National,France,FR,"Ministère de l'Éducation nationale et de la Jeunesse",Governmental,2015,Yes,,Education,"Financial support",Api,Unknown,No,Yes,"Process digitisation","In production","Ministère de l'Éducation nationale et de la Jeunesse",Governmental
