id,name,rtype,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
1,Open Data Österreich,Service,Data access and reuse,https://www.data.gv.at/katalog/api/3,,API of the Austrian national open data catalogue.,National,Austria,Cooperation Open Government Data Austria,Governmental,2012,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
2,Austrian geodata catalogue,Service,Data access and reuse,https://geometadaten.lfrz.at/at.lfrz.discoveryservices/srv/de/csw202?SERVICE=CSW&REQUEST=GetCapabilities,,API of the Austrian national geodata catalogue.,National,Austria,Federal Ministry for Sustainability and Tourism,Governmental,2011,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
3,Data.gov.be,Service,Data access and reuse,https://data.gov.be/en/api,,API of the Belgian national data catalogue.,National,Belgium,Government of Belgium,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
4,geo.be,Service,Data access and reuse,https://csw.geo.be/eng/csw?SERVICE=CSW&VERSION=2.0.2&REQUEST=GetCapabilities,,API of the geodata catalogue of the Belgian federal institutions.,National,Belgium,Government of Belgium,Governmental,2011,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
5,geo.brussels,Service,Data access and reuse,https://geobru.irisnet.be/en/webservices/,,API of the Brussels geodata catalogue.,Local,Belgium,City of Brussels,Governmental,2011,Yes,,Environmental protection,Data access,Yes,No,API,In production,Unknown
6,Flanders INSPIRE Geoportal,Service,Data access and reuse,https://geonetwork.geopunt.be/zoekdienst/srv/eng/csw,,API of the Flanders INSPIRE data catalogue.,Regional,Belgium,Region Flanders,Governmental,2011,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
7,Flanders open data catalogue,Service,Data access and reuse,https://overheid.vlaanderen.be/webdiensten-ons-api-aanbod,,APIs of the Flanders open data catalogue.,Regional,Belgium,Flanders Information Agency,Governmental,2014,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
8,Cable and Line Information Portal (KLIP),Service,Service integration,https://klip.vlaanderen.be/api,,API of the Flanders Cable and Line Information Portal (KLIP).,Regional,Belgium,Flanders Underground Utility Location System (KLIP),Governmental,2015,Yes,,General public services,Data access,No,No,API,In production,Unknown
9,FRIS Onderzoeksportaal,Service,Service integration,https://frisr4.researchportal.be/ws/,,APIs of the Flanders research information portal.,Regional,Belgium,Flanders Research Information Space (FRIS),Governmental,2018,Yes,,Basic research,Data access,Yes,No,API,In production,Unknown
10,Gent Open Data Portaal,Service,Data access and reuse,https://data.stad.gent/api/v1/console/,,API of the Ghent data catalogue.,Local,Belgium,City of Ghent,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
11,Metawal - Catalogue pour l'information géographique de Wallonie,Service,Data access and reuse,https://metawal.wallonie.be/geonetwork/srv/eng/csw?SERVICE=CSW&VERSION=2.0.2&REQUEST=GetCapabilities,,API of the Wallonie geodata catalogue.,Regional,Belgium,Region Wallonia,Governmental,2013,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
12,Open Data Bulgaria,Service,Data access and reuse,https://data.egov.bg/,,API of the Bulgarian national data catalogue.,National,Bulgaria,Administration Council of Ministers,Governmental,2014,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
13,Bulgaria National Geoportal,Service,Data access and reuse,https://inspire-catalogue.egov.bg/,,API of the Bulgarian INSPIRE geoportal.,National,Bulgaria,Government of Bulgaria,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
14,European Centre for Medium-Range Weather Forecasts (ECMWF),Service,Data access and reuse,http://apps.ecmwf.int/datasets/data/tigge/levtype=sfc/type=cf/,,API of the European Centre for Medium-Range Weather Forecasts (ECMWF) data catalogue.,International,European Union,European Centre for Medium-Range Weather Forecasts (ECMWF),Governmental,2015,Yes,,General public services,Data access,No,Yes,API,In production,Unknown
15,European Marine Observation and Data Network (EMODNET),Service,Data access and reuse,http://www.emodnet-biology.eu/emodnet-biology-api,,API  of the European Marine Observation and Data Network (EMODNET) data catalogue.,International,European Union,"European Comission, European Marine Observation and Data Network (EMODNet)",Governmental,2017,Yes,,Environmental protection,Data access,No,Yes,API,In production,Unknown
16,YourDataStories,Service,Data access and reuse,http://dev.yourdatastories.eu/YDS-docs/API,,YourDataStories,International,European Union,YourDataStories (YDS),Governmental,2015,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
17,Croatia National Geoportal,Service,Data access and reuse,http://geoportal.nipp.hr/geonetwork/srv/hrv/csw-inspire,,API  of the Croatian national geodata catalogue.,National,European Union,Government of Croatia,Governmental,2013,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
18,Cyprus National Geoportal,Service,Data access and reuse,https://eservices.dls.moi.gov.cy/geoportal_inspire/csw,,API of the Cyprus national geodata catalogue.,National,Cyprus,Government of Cyprus,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
19,Access to Registers of Economic Subjects / Entities (ARES),Service,Service integration,http://wwwinfo.mfcr.cz/ares/ares.html.en,,Access to Registers of Economic Subjects / Entities is an information system allowing a retrieval of information on economic entities registered in the Czech Republic. This system intermediates a display of data from particular registers of the state administration (called source registers) in which the data concerned is kept.,National,Czechia,Government of Czechia,Governmental,2013,Yes,,Financial and fiscal affairs,Data access,Yes,No,API,In production,Unknown
20,Czech Cadastre Web Services,Service,Service integration,https://www.cuzk.cz/English/Cadastre-of-Real-Estate/Provision-of-data/Remote-Access/Web-Services-of-the-Remote-Access.aspx,,Web Services of the Remote Access to the Data of the Cadastre of Real Estate of the Czech Republic.,National,Czechia,Kadaster,Governmental,2013,Yes,,General public services,Data access,No,No,API,In production,Unknown
21,Czech National Opendata Catalogue,Service,Data access and reuse,https://data.gov.cz/,,API of the Czech national data catalogue.,National,Czechia,Government of Czechia,Governmental,2018,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
22,Geoportal ČÚZK,Service,Data access and reuse,https://geoportal.cuzk.cz/,,API of the Czech national geodata catalogue.,National,Czechia,Government of Czechia,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
