id,name,rtype,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
1,"Aragon General Directorate of Contracting, Blockchain Project",Service,Auditing and logging,https://www.europapress.es/aragon/noticia-aragon-pionera-apostar-tecnologia-blockchain-integrandose-asociacion-alastria-20180917130921.html,,"As part of a larger project aiming to use blockchain in order to transform public administration and the provision of public services, the General Directorate of Contracting within the Government of Aragon has launched a project in which blockchain will be used to register the bids received for public contracts and evaluate them in an automated ways.",National,Spain,Aragon General Directorate of Contracting,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Blockchain,In development,Unknown
2,Basque Government Blockchain project,Service,Data access and reuse,https://cointelegraph.com/news/spanish-city-of-bilbao-launches-171k-tender-to-develop-public-blockchain-network,,The city of Bilbao has launched a tender to get ideas for the implementation of blockchain in public services. The winning company would prepare a digital platform to facilitate the exchange of data between different public institutions by using blockchain and smart contracts.,National,Spain,City of Bilbao,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Blockchain,In development,Unknown
3,V-ICT-OR Blockchain Project,Service,Auditing and logging,https://www.vlerick.com/~/media/corporate-marketing/our-expertise/pdf/20170927BarometerInnovativePublicProcurementpdf.pdf,,V-ICT-OR (the membership organization for those involved in ICT and information management at Flemish local governments) teamed up with Digipolis to launch a challenge for blockchain solutions for procurement. The project was used as a way to become acquainted with a new way of organising the procurement process. It was successfully implemented and the solution is currently being programmed.,National,Belgium,Digipolis,Governmental,2017,Yes,,General public services,Procurement,Yes,No,Blockchain,In development,Unknown
4,Public Procurement Advisory Unit Blockchain Project,Project,Auditing and logging,http://chrisholmes.co.uk/wp-content/uploads/2017/11/Distributed-Ledger-Technologies-for-Public-Good_leadership-collaboration-and-innovation.pdf,,"A House of Lords report, highlighted the transformational impact that distributed ledger technology could have on public services - noting public procurement as one of the areas that could be transformed. According to the report, distributed ledger technology has the potential to provide greater visibility and understanding of the supply market, and enable moves towards a more distributed model for public sector buying. The report also notes the potential of smart contracts to enable a dynamic public procurement model.",National,United Kingdom,House of Lords,Governmental,2017,Yes,,General public services,Procurement,Yes,No,Blockchain,In development,Unknown
5,Government of Austria Blockchain Project,Project,Auditing and logging,https://www.coindesk.com/austrian-government-backs-new-blockchain-research-institute,,"The Austrian government is supporting new research centres for blockchain. In a document outlining a digital roadmap for 2025, contracts process is identified as one of the potential uses of blockchain technology.",National,Austria,Austrian Government,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Blockchain,In development,Unknown
6,"Digipolis Antwerp, Smart procurement tool",Service,Disintermediation and decentralised networks,https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,,"Digipolis, the IT agency for Antwerp, is developing a blockchain-based application together with its partner for the project, BallistiX, which will allow for the publication of a quotation request and submission and opening of quotations. It is believed that the use of blockchain will guarantee the reliability of each step of the procurement process, as they will be recorded in a transparent manner.",National,Belgium,Digipolis,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Blockchain,In development,Unknown
7,"Malta Information Technology Agency (MITA),  Smart Public Contracts",Service,Auditing and logging,https://mita.gov.mt/en/ict-features/Pages/2018/Blockchain-the-potential-to-improve-public-services.aspx,,"Under the project, MITA and the University of Malta are collaborating to develop a first prototype of a smart contract with the aim of turring their public procurement contracts into smart contracts. The project will develop a smart contract which will automatically record events on the blockchain, a centralised database to record other events not on the blockchain, and a centralised web application to provide an interface with the smart contract and the centralised database.",National,Malta,MITA,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Blockchain,In development,Unknown
8,"Ministry of Public Administration, Big data project",Service,Business intelligence,http://www.mju.gov.si/en/media_room/news/8631/,,"The ministry collaborated with EMC Dell to implement a first pilot project exploring the opportunities of using big data to drive a data-driven public administration. Data on human resources, finance and public procurement was combined with external data sources. The results of the analysis showed that there was considerable potential for lowering costs related to public procurement.",National,Slovenia,Ministry of Public Administration,Governmental,2017,Yes,,General public services,Procurement,Yes,No,Data analytics,Pilot,Unknown
9,"Procurement Monitoring Bureau, ZoomChart",Service,Data visualisation,https://zoomcharts.wordpress.com/2015/03/09/zoomcharts-on-the-procurement-monitoring-bureau-of-latvia-website/,,The Procurement Monitoring Bureau of Latvia has integrated the ZoomChart software to provide a functional and visually stimulating information on procurement activities.,National,Latvia,Procurement Monitoring Bureau of Latvia,Governmental,2015,Yes,,General public services,Procurement,Yes,No,Data analytics,In production,Unknown
10,"Department of Mobility & Public Works, Medium for Economic Data, Information and Applications on Public Procurement (MEDIAAN)",Service,Auditing and logging,https://www.vlerick.com/~/media/corporate-marketing/our-expertise/pdf/20170927BarometerInnovativePublicProcurement.pdf,,"MEDIAAN is an online platform that gathers a wide array of applications, databases, and other instruments related to pricing of public procurement contracts and cost engineering aspects with regard to infrastructure projects. It uses historical data from past tenders to provide the purchasing government support for pricing analysis, pricing assessment, and pricing review. The user can get analysis on various parameters - quantity, time, award procedure etc.",National,Belgium,Department of Mobility & Public Works,Governmental,2017,Yes,,General public services,Procurement,Yes,No,Data analytics,In production,Unknown
11,"Agjencia Erokurimit Publik, Business intelligence project",Service,Business intelligence,http://www.app.gov.al/GetData/DownloadDoc?documentId=d782105f-29d1-42a6-af38-649d90be2179,,"Albania's public procurement agency undertook a project to augment the functionalities of its electronic procurement portal. As part of this, they developed a 'business intelligence' system for complex reporting and analysis. Other initiatives included an archiving system for completed procedures, automation of inventory and realization records etc.",National,Albania,Agjencia Erokurimit Publik,Governmental,2017,Yes,,General public services,Procurement,Yes,No,Data analytics,In production,Unknown
12,"IT Directorate, Ministry of Public Administration, SKRINJA 2.0",Service,Business intelligence,http://www.mju.gov.si/en/areas_of_work/information_and_communications_technology/,,The ICT department of the Ministry of Public Administration is planning to implement a data warehouse and business intelligence system that shall be configured as a horizontal service on Government Computer Cloud till 2022 to promote data-driven decision making in public administration. The Ministry also handles the procurement activities of the country and therefore there is a prospect of utilising the system in the procurement procedures as well.,National,Slovenia,"Ministry of Public Administration,",Governmental,2017,Yes,2022,General public services,Procurement,Yes,No,Data analytics,In development,Unknown
13,Red flags,Service,Auditing and logging,http://redflags.eu/,,The European Commission funded project provides an interactive tool that allows for the monitoring of procurement processes. It automatically checks procurement documents and flags risky procurement documents using a special algorithm. Users can subscribe to receive alerts if risky procurements are published in their field of interest.,International,European Union,Transparency International Hungary,Governmental,2015,Yes,,General public services,Procurement,Yes,No,Data analytics,In production,Unknown
14,"Agency for Public Management and eGovernment, Digital procurement program",Service,Auditing and logging,https://www.supplychaindigital.com/company/difi-digitising-procurement,,"Under the program, the agency is first working on capturing all the data from transactions between suppliers and public buyers. Their plan for doing this involves setting up a system whereby invoices are automatically sent over the Peppol network to both the consumer and to DIFI, which stores them in a single database. The first step is to test this concept, through a first pilot due this year. The idea is that eventually this data can be used to help automate various parts of the procurement process. One initial hypotheses on how this could be done is automated categorisation of the product types that are being procured. It is thought that the data could also be used to provide input into the state budget.",National,Norway,Agency for Public Management and eGovernment,Governmental,2008,Yes,,General public services,Procurement,Yes,No,Data analytics,In production,Large
15,"Consip, Open data platform",Service,Data access and reuse,https://dati.consip.it/,,Consip wanted to publish data on all public tenders so that stakeholders can examine and analyse the data themselves. In order to do this they have set up an open data platform which runs on the open source CKAN cloud infrastructure platform.,National,Italy,Consip,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Data analytics,In production,Unknown
16,"ProZorro, Risk indicators",Service,Auditing and logging,https://oecd-opsi.org/innovations/eprocurement-system-prozorro/,,"ProZorro is a hybrid electronic government e-procurement system created as the result of a partnership between business, government and the civil society in Ukraine. The system is an open source solution that makes use of the open contracting data standard. It works under the principle ""everyone can see everything"". The monitoring tools developed enable analysis of public procurement, with information displayed about each tender, buyer and government authority. The system monitors risks of corruption in real time, using algorithms to flag high risk cases based on risk indicators. An automated risk-indicator engine scans all active electronic tenders for non-compliance and irregularities. Risky transactions are selected for further monitoring.",National,Ukraine,ProZorro,Governmental,2016,Yes,,General public services,Procurement,Yes,No,Data analytics,In development,Large
17,"ProZorro, Bid prediction",Service,Predictive systems,https://ocdsanalytics.com/ua/prozorro/ai/docs/,,The ProZorro team is using artificial intelligence and machine learning in its work with the aim of developing a model that would predict the likelihood of a tender happening and being succesful. Another tool is able to predict the probability that a particular tender participant will leave the platform before completing the tender.,National,Ukraine,ProZorro,Governmental,2016,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,Pilot,Large
18,"ProZorro, CPV Prediction",Service,Predictive systems,https://ocdsanalytics.com/ua/prozorro/ai/docs/examples/,,"Prozorro has developed an AI tool that can predict the correct CPV codes and unit of measurement. The tool has not yet been implemented. It aims to make the platforms that provide the user-interface for organisations using the Prozorro data easier to use, reducing mis-classifications and errors;",National,Ukraine,ProZorro,Governmental,2016,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In development,Large
