id,name,rtype,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
1,Stopp Corona App,Service,Contact tracing,https://www.austria.info/en/service-and-facts/coronavirus-information/app,,"Austria’s official contact tracing app automatically records any and all contacts while adhering to strict data protection guidelines. As soon as a user reports an infection, all contacts are automatically notified. Powered by the latest COVID-19 contact tracing technology for iOS and Android, the app is available in German and English.",National,Austria,Austrian Red Cross,Private,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
2,Coronalert,Service,Contact tracing,https://coronalert.be/en/,,The app helps us to protect each other and slow down the spread of the coronavirus (COVID-19). The Coronalert app uses technology to speed up contact detection in Belgium.,National,Belgium,SCIENSANO,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
3,Stop COVID-19,Service,Contact tracing,https://www.koronavirus.hr/stop-covid-19-723/723,,"Stop COVID-19 is an application that serves to simply warn citizens that they may have found themselves in epidemiologically risky contact. It will help you make the right decision if you develop symptoms: you will be able to give the epidemiologist accurate and clear information about the exposure. If you have no symptoms, and the application warns you that you have been in epidemiologically risky contact, you can pay more attention to hygiene and physical distance.",National,Croatia,Ministry of Health,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
4,CovTracer,Service,Contact tracing,https://covid-19.rise.org.cy/en/,,The CovTracer app works for halting the COVID19 pandemic in Cyprus by facilitating tracing of infected patients and accelerating action-taking.,National,Cyprus,RISE,Governmental,2021,Yes,,Health,Information,No,No,Internet of Things,Pilot,Unknown
5,eRouška,Service,Contact tracing,https://erouska.cz/,,"With the eRouška application, you will help stop the spread of COVID-19. It allows users to be alerted in a timely and anonymous manner to a risky encounter with an infected person. The application maximally protects your privacy, does not know your personal data or location.",National,Czech Republic,Ministry of Health,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
6,Smitte | stop,Service,Contact tracing,https://smittestop.dk/,,"The app smitte | stop is a digital tool that gives us all the opportunity to help prevent COVID-19 from spreading while Denmark reopens. In the app, you can easily notify people you have been close to if you are tested positive for new coronavirus, and thus the app can help to slow down infection chains. The app is a digital supplement to other initiatives aimed at controlling the spread of infection in society, such as isolation of the sick, general advice on hygiene and distance as well as other contact tracing.",National,Denmark,Ministry of Health and the Elderly,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
7,HOIA,Service,Contact tracing,https://hoia.me/,,HOIA — which means “take care” in Estonian — can be used to inform the contacts of those infected with the SARS-CoV-2 virus and to provide them with instructions on what to do if they have been in close contact with someone who tests positive. The aim is to prevent the further spread of the virus and alert those exposed to seek treatment and undertake preventative measures.,National,Estonia,Health and Welfare Information Systems Centre (TEHIK),Public-Private Partnership,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
8,Koronavilkku,Service,Contact tracing,https://koronavilkku.fi/,,"Koronavikku is an application produced by the Department of Health and Welfare that allows you to get information if you are exposed to a coronavirus according to the application's assessment. If you are found infected, you can report it anonymously. In the app, your privacy is strongly protected.",National,Finland,Department of Health and Welfare,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
9,StopCovid,Service,Contact tracing,https://www.economie.gouv.fr/stopcovid,,"StopCovid is an application that is part of the Government's overall deconfinement plan in the context of the Covid-19 epidemic. Objectives: protect yourself, protect others, and support the efforts of caregivers and the health system to stop the chains of contamination as quickly as possible and avoid a second wave of the Covid-19 epidemic. On Wednesday, May 27, the National Assembly and the Senate voted in favor of the deployment of StopCovid.",National,France,French Government,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
10,Corna-Warn-App,Service,Contact tracing,https://www.bundesregierung.de/breg-de/themen/corona-warn-app/corona-warn-app-englisch,,"The Corona-Warn-App helps us to determine whether we have had any contact with an infected person which could result in a risk of catching the virus. This way, we can interrupt chains of infection more quickly. The app is a service by the Federal Government. Download and use of the app are entirely voluntary.",National,Germany,German Government,Governmental,2020,Yes,,Health,Information,No,Yes,Internet of Things,In production,Unknown
