id,name,rtype,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
1,Wheelmap,Project,Smart city,https://news.wheelmap.org/,,"Wheelmap has the objective to realise an online map for finding and marking wheelchair accessible place which helps people with reduced mobility get around in cities. Routes, places and transport options are labelled in terms of their ease of access for people with wheelchairs.",International,Germany,SOZIALHELDEN ,Private company,2010,No,2011,Social Protection,Information,No,Yes,API,In production,Unknown
2,CloudOpting,Project,Service integration,https://cordis.europa.eu/project/id/621146,,"CloudOpting is the European App Store for public services, which aims to provide a cloud-based platform for governments to deliver services to citizens while reducing administration and IT fees.",International,Spain,Institut Municipal d'Informàtica Barcelona,Consortium,2014,No,2017,General public services,Service integration,No,Yes,API,Pilot,Unknown
3,EDUCLOUD - EduCloud Service Standard,Project,Service integration,https://educloudalliance.org,,"EduCloud (ECA) is an alliance for the implementation of an open educational cloud service standard (EduCloud), initiated by the Finnish Ministry of Education and Culture. The aim is to develop a nation-level ecosystem focusing on international awareness, which connects the users, purchasers, developers and service providers of learning services.",International,Finland,Ministry of Education and Culture,Governmental,2015,No,2016,Education,Service integration,No,Yes,Internet of Things,In production,Unknown
4,ENERGIC OD - European NEtwork for Redistributing Geospatial Information to user Communities - Open Data,Project,Data access and reuse,https://cordis.europa.eu/project/id/620400,,"ENERGIC OD aim is to deploy a set of Virtual Hubs (VH) by integrating an existing broker framework with other selected technologies to provide users with a single point of access to geospatial datasets provided by new or existing platforms and infrastructures, including INSPIRE-compliant systems and GMES/Copernicus services.",International,European Union,CNR,Consortium,2014,No,2017,General public services,Data access,No,Yes,API,Pilot,Unknown
5,CAREWELL - Multi-level integration for patients with complex needs,Project,Personalised healthcare,https://cordis.europa.eu/project/id/620983,,"Carewell will focus in particular complex, multi-morbid elderly patients, who the patients most in need of health and social care resources (35% the total cost of Health Care System) and more complex interventions due to their frailty and comorbidities (health and social care coordination, monitoring, self-management of the patient and informal care giver). ICT platforms and communication channels that allow sharing information between healthcare and social care professionals involved in the delivery care of these patients, facilitating their coordination, increasing their resoluteness and avoiding duplicities when tackling patients´ diagnostic, therapeutic, rehabilitation or monitoring needs.",International,European Union,Kronikgune Institute for Health Services Research,Consortium,2014,No,2017,Health,Information,No,Yes,API,Pilot,Unknown
6,SDI4Apps - Uptake of Open Geographic Information Through Innovative Services Based on Linked Data,Project,Data access and reuse,https://cordis.europa.eu/project/id/621129,,"The potential of geographic information (GI) collected by various actors ranging from public administration to voluntary initiatives of citizens is not fully exploited. The advancements of ICT technologies and shift towards Linked Open Data give floor to innovation.The establishment of SDIs has largely been driven by the ""traditional"" GI community and the national and European policies governing this sector. SDI4Apps seeks to build a cloud-based framework with open API for data integration focusing on the development of six pilot applications. The project draws along the lines of INSPIRE, Copernicus and GEOSS and aspires to build a WIN-WIN strategy for building a successful business for hundreds of SMEs on the basis of European spatial data infrastructures.",International,European Union,University of West Bohemia in Pilsen,Consortium,2014,No,2017,General public services,Data access,No,Yes,API,Pilot,Unknown
7,BeyondSilos - Learning from integrated eCare practice and promoting deployment in European regions,Project,Service integration,https://cordis.europa.eu/project/id/621069,,"BeyondSilos enables delivery of integrated care to older Europeans to support them to live independently within the community by providing the ICT tools necessary to join up care pathways across organisations, in particular between social and health service providers. A key area of integration is providing cross-sectoral teams with common access to client data, including those coming from home platforms providing monitoring of physiological and environmental parameters and tools for improving self-care. BeyondSilos in Sofia aims at changing this situation by implementing and testing an integrated care record shared between social and health care providers in the region.",International,European Union,Regional Health and Social Care Board,Consortium,2014,No,2017,Health,Service integration,No,Yes,API,Pilot,Unknown
8,HoPE - Holistic Personal public Eco-mobility,Project,Smart city,https://cordis.europa.eu/project/id/621133,,"The overall platform is intended to be user oriented and user centric, in a way that will foster and promote user awareness and consciousness about public transports and eco-mobility, other than providing for a significant mix of services including info-mobility, trip planning, ticket reservation, fare calculation and mobile payments.",International,European Union,Transport and Mobility Leuven,Consortium,2014,No,2017,Transport,Information,No,Yes,Internet of Things,Pilot,Unknown
9,Peppol,Project,Service integration,https://peppol.eu/about-openpeppol/history-of-openpeppol/,,"The PEPPOL project has contributed to the development of a pan-European, standards-based IT infrastructure. PEPPOL has not replaced, but built upon, the existing strengths of national eProcurement systems by using information and communication technologies to enable them to connect with each other. PEPPOL enables access to its standards-based IT transport infrastructure through Access Points, and provides services for eProcurement with standardised electronic document formats. PEPPOL will make electronic communication between companies and government bodies possible for all procurement processes in the EU. PEPPOL developed the Business Interoperability Specifications (BIS) for common eProcurement processes such as eCatalogue, eOrders, and eInvoices to standardize electronic documents exchanged and validated through an open and secure network, between sending and receiving Access Points for public sector buyers and their suppliers across Europe. A Virtual Company Dossier was developed for suppliers to submit company information in a standardized ‘re‐usable’ format, an eCatalogue for use in the tendering process, and a pan‐European e‐signature validation service.",International,European Union,OpenPEPPOL,Consortium,2008,No,2012,Financial and fiscal affairs,Procurement,No,Yes,API,In production,Unknown
10,Dublinked,Service,Data access and reuse,https://data.smartdublin.ie/,,"Dublinked illustrates how to foster citizen empowerment and government transparency while nurturing economic and technological development. As releasing open data in cities raises many technical, legal, cultural and organisational challenges, Dublinked provides lessons for other cities willing to open their data and, through that, foster new digital businesses. Dublinked also illustrates how to design a balanced local partnership for these aims, involving 4 local authorities of the region, in partnership with the National University of Ireland Maynooth (NUIM) and a transnational IT corporation (IBM). Moreover, from an urban policy perspective, Dublinked is a flagship in a new generation of ‘soft’ local economic development initiatives. Dublinked distinguishes itself from other open data initiatives by i) proactively supporting the formation of new communities of innovators and ii) by promoting the release of complex (yet potentially more valuable) types of datasets based on data streams, live feeds, etc.",Regional,Ireland,Smart Dublin,Governmental,2011,No,2017,General public services,Data access,No,No,API,In production,Unknown
