,entry_type,rtype,name,url,contact,description,geoextent,geocoverage,geocoverage_codes,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,technology,uptake,cross_border,cross_sector,type,status,id
0,case,Service,AMS - public empolyment service,https://www.frontiersin.org/articles/10.3389/fdata.2020.00005/full,,"As of 2020, the Public Employment Service Austria (AMS) makes use of algorithmic profiling of job seekers to increase the efficiency of its counseling process and the effectiveness of active labor market programs. Based on a statistical model of job seekers' prospects on the labor market, the system—that has become known as the AMS algorithm—is designed to classify clients of the AMS into three categories: those with high chances to find a job within half a year, those with mediocre prospects on the job market, and those clients with a bad outlook of employment in the next 2 years. Depending on the category a particular job seeker is classified under, they will be offered differing support in (re)entering the labor market  A coalition of civil society organizations started a campaign to rescind an algorithm used by Austria’s employment agency. The system has been declared illegal by the Austrian data protection agency.",National,Austria,AT,Public Employment Service Austria,Central-Government,2020,,,Social protection,Unemployment.,Artificial Intelligence,,,,Service personalisation (various),Not in use anymore,0
1,case,Service,Mona - Public chatbot for companies on the subject of the corona crisis and the economy,https://www.usp.gv.at/Portal.Node/usp/public,,"The new chatbot ""Mona"" is intended to cover all relevant questions for companies on the subject of the corona crisis and the economy. The service of the Federal Ministry for Digitization and Business Location (BMDW) is available online on the ""Unternehmens Service Portal"" (USP, Company service portal ) website and can also be used on mobile devices. The service can be found on the home page of the USP and is intended to provide companies with important information on essential points such as subsidies, labor law matters such as short-time work and teleworking in a simple way during these difficult times . On the one hand, users can ask freely formulated questions, on the other hand there is a classic information channel in which more detailed information is provided step by step on the three central topics of work, financial aspects and research at the click of a mouse.",National,Austria,AT,"Unternehmensservice Portal, Austria",Central-Government,2020,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Engagement management,Implemented,1
2,case,Service,CitizenLab - Youth for Climate,https://youth4climate.be/en/,,"Collecting input was just the easy part: in order to turn these ideas into meaningful actions and recommendations, Youth forClimate needed to process thousands of ideas in a short period of time. This was a perfect use case for the automated data analysis feature of the CitizenLab platform.
As we accompanied Youth forClimate through the process of collecting and analysing the input, we were able to test our NLP technology on a wide scale, and run it on thousands of contributions written in multiple languages. Here are a few of the learnings we made along the way.  ",National,Belgium,BE,"CitizenLab, Belgium",Private sector,2019,,,Environmental protection,Environmental protection n.e.c.,Artificial Intelligence,,,,Engagement management,Implemented,2
3,case,Service,Walloon - Agricultural subsidy monitoring with the use of GeoAI,https://inspire.ec.europa.eu/sites/default/files/1._location_intelligence_-_gartner_v1.2.pdf,,Walloon uses geo AI with satellite imagery to check whether subsidy requirements are met ,Regional,Belgium,BE2,Département de l'Agriculture,Local Government,2020,,,Economic affairs,"Agriculture, forestry, fishing and hunting",Artificial Intelligence,,,,Monitoring policy implementation,Implemented,3
4,case,Service,AcPaas - Technical procurement documents comparison, https://acpaas.digipolis.be/nl/home,,"The city of Antwerp has a platform called Antwerp City Platform as a Service (Acpaas) that uses NLP to compare a technical document of a procurement (or an offer/call?) and find the already existent IT components they have in house (API, applications, etc) that could possibly satisfy some of the requirements. To do this, they compare the text of the files of the offer to the ones of the metadata of the components. In the case of the API they do some preprocessing and extract the descriptive information from the metadata files. They also have launched an experimental service that compares technical diagrams with the metadata of the IT components. ",Local,Belgium,BE21,Digipolis & city of Antwerp,Private sector,2020,,,General public services,General public services n.e.c.,Artificial Intelligence,,,,Internal support processes,Implemented,4
5,case,Service,Flemish Infoline - Automatic classification of incoming phone calls,https://www.innovatieveoverheidsopdrachten.be/en/projects/1700-supported-artificial-intelligence,,"NLP is used to automatically classify incoming telephone questions at the 1700 (Flemish Infoline), to integrally transcribe and document the conversations, and to suggest answers. Informatie Vlaanderen use it to detect and categorise the incoming questions faster and more 'finely-meshed', and also integrate this 'finely-meshed' into the editorial management. In this way, the answers can be suggested more quickly, more adequately and also more 'automatically' to the answer provider, regardless of the chosen communication channel (oral or written). In essence, the project aims at two objectives: (1) the quicker and more efficient capturing and categorising of the question, and (2) the quicker and more efficient forwarding of the 'correctly captioned' question to the 'correct' answer provider with the 'correct' skills, whereby a valid and standardised answer (suggestion) is immediately sent along with it (so that the answer provider does not have to look up the intended answer script).",Regional,Belgium,BE2,"Information Flanders, Belgium",Local Government,2020,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Engagement management,Implemented,5
6,case,Service,ILVO - List of multiple AI projects in the agricultural domain,https://ilvo.vlaanderen.be/en/search-results?q=Artificial+intelligence&id=home&l=en,,"The Institute for Agricultural, Fisheries and Food Research (ILVO) evaluated the possibilities of Artificial Intelligence for agricultural applications. Most applications are still in an initial phase and often in collaboration with other knowledge centers. Some concrete projects are: o Processing of hyperspectral images for early detection of potato diseases o Automatic health monitoring in cattle (e.g. lameness detection) o Automatic health monitoring in fattening pigs o Image analysis for multiple specific applications (e.g. quality food products, sorting fish species, etc.) o Behavior of plants under the influence of external stimuli o Identification of problem insects (eg zip needles) via camera images o Site-specific detection of problem weeds",National,Belgium,BE100,"Instituut voor Landbouw-, Visserij- en Voedingsonderzoek",Central-Government,2019,,,Economic affairs,"General economic, commercial and labour affair",Artificial Intelligence,,,,Service integration (various),In development,6
7,case,Service,Belgium - Detection batch numbers vaccins,https://www.kindengezin.be/nl,,"Child and Family has a proof of concept regarding recognition and reading of lot numbers on vaccine packages via the camera of a smartphone. Lot numbers on vaccine packages are not standardized. The goal is to make it easier to store the lot number at the vaccination registration, so that it can always be found afterwards with what specific fate a child was vaccinated.",National,Belgium,BE,"Kind en Gezin, Belgium",Central-Government,2018,,,Health,"Medical products, appliances and equipment.",Artificial Intelligence,,,,Internal primary processes,In development,7
8,case,Service,Verontrustingen - Enabling accurate predictions to detect day-care services inspection,,,"The Flemish Agency for Child and Family (Kind en Gezin) developed an AI system which enables more accurate predictions to detect day-care services which require further inspection. These inspections enable the agencies to keep the quality of the day-care services high and to improve the wellbeing of children. In facts, there is limited capacity available to conduct all the inspections. The use of data had been considered as way to enhance existing inspection practices and optimize the scarce amount of inspectors. The predictive system developed uses a supervised machine learning method (logistic regression and XGBoost) to analyse various internal and external data from the Health Care Inspection Unit. Combining the recommendations of the predictive system with existing staff experience and expertise enables more targeted and data-driven interventions. ",National,Belgium,BE,"Kind en Gezin, Belgium",Central-Government,2014,,,Social protection,Family and children.,Artificial Intelligence,,,,Predictive enforcement processes,Implemented,8
9,case,Service,Camera System - Mobile phone usage on vehicles, https://baseline.vias.be/storage/minisites/methodological-guidelines-kpi-distraction.pdf,,"Traffic institute Vias is currently testing a new camera system that registers whether a motorist behind the wheel is on the phone with the phone in hand. Using Artificial Intelligence, the system filters the photos showing that the driver is using a smartphone. Other photos are deleted and faces are made unrecognizable. If the police establishes a violation based on that selection, they can issue a fine.",Local,Belgium,BE,Traffic Institute Vias,Local Government,2020,,,Public order and safety,Police Services,Artificial Intelligence,,,,Smart Recognition processes,Pilot,9
10,case,Service,PaveAI 2.0 - Interprets the figures in Google Analytics via machine learning and custom reports,"https://flemishmasters.com.ent.be/pfile?id=1356741
https://www.producthunt.com/posts/paveai-2-0",,VISITFLANDERS has  there an experiment with PaveAI. This includes one tool that interprets the figures in Google Analytics via machine learning and custom reports. This will be applied to the website,Regional,Belgium,BE,Visit Flanders,Local Government,2018,,,Economic affairs,"General economic, commercial and labour affair",Artificial Intelligence,,,,Information analysis processes,Pilot,10
11,case,Service,"Jobnet - Reskilling, upskilling and retraining of people",,,"The Flemish Employment and Vocational Training Service (VDAB) is using AI since 2018 which assists in the reskilling, upskilling and retraining of people. The software is called Jobnet and is the combination of a variety of different AI-models into one big AI-model. With the AI, citizens can see which jobs are fitting to their skills, which relevant skills they still lack, starting from their own experience combined with job market data.",Regional,Belgium,BE,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding,Local Government,2018,,,Social protection,Unemployment.,Artificial Intelligence,,,,Service personalisation (various),Implemented,11
12,case,Service,VDAB Chatbot for job seekers - Chatbots to better match jobseekers with the right vacancie,https://tracebrussel.be/nieuws/vdab-experimenteert-met-chatbots-en-tinderdienst,,"VDAB experiments with chatbots to better match jobseekers with the right vacancies. A chatbot is an automated conversation partner that participates in typed conversations. VDAB is also investigating how chatbots can guide job seekers in their search by automatically answering questions and addressing job seekers.
http://chatbotvanvdab.be/",Local,Belgium,BE,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding,Local Government,2020,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Service personalisation (various),Implemented,12
13,case,Service,Quickscan Organisaties, https://www.quickscanintegriteit.be/,,"The Department of Culture, Youth and Media wants to use the project ""innovative government procurement "", a tool"" Quickscan Organizations ""and associated develop underlying algorithm that makes it possible for the business automate the assessment and admissibility of grant applications, and the reduce time investment for the applicant and assessors",Regional,Belgium,BE,"Departement Cultuur, Jeugd en Media (CJM)",Central-Government,2020,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Taking decisions on benefits  ,Pilot,13
14,case,Service,Plovdic - City Concierge Chatbot,,,"City Concierge is an AI-powered city chatbot like a virtual Tourist Office in the mobile. It is there for the visitors 24/7 in Messenger and provides information about the city Point of Interests pf the city. It is possible for tourists and visitors to search information by category and location, or by keyword, or simply ask question about restaurants, entertainment, sightseeing, shopping, transportation and other",Local,Bulgaria,BG,UMNI,Local Government,2020,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Engagement management,Implemented,14
15,case,Service,Andrija - Virtual assistant supporting advising suspected COVID-19 infections,,,Andrija is a virtual assistant powered by Artificial Intelligence and has been developed by Croatian IT companies in cooperation with epidemiologists to advise people on how to diagnose and manage suspected COVID-19 infections. The digital assistant is available at https://andrija.ai/ and can be activated on WhatsApp under the name Andrija. ,National,Croatia,HR,Ministry of Health,Central-Government,2020,,,Health,Public health services.,Artificial Intelligence,,,,Management of auditing and logging,Implemented,15
16,case,Service,Hope - Chatbot informing work of the Civil Protection Staff,,,"The Chatbot Hope is used in the City of Vinkovci to inform citizens about the work of the Civil Protection Staff. The chatbot was created pro bono by the Slavonian company Hero Factory, which recently created a similar program for the Croatian Institute of Public Health. The Chatbot can answer questions related to coronavirus, the Civil Protection Staff, e-passes and check for symptons of the virus.",Local,Croatia,HR,Vinkovci munipality,Local Government,2020,,,Health,Public health services.,Artificial Intelligence,,,,Management of auditing and logging,Implemented,16
17,case,Service,WaterAnalytics - Water quality monitoring,https://www.wateranalytics.eu/,,The Water Development Department in Cyprus is using AI algorithms for the analysis of water monitoring data (such as hydraulics and water quality).,National,Cyprus,CY,"The Water Development Department, The Water Development Department, Cyprus",Governmental,2018,,2020.0,Housing and community amenities,Water supply.,Artificial Intelligence,,,,Monitoring policy implementation,Pilot,17
18,case,Service,AI in social service to improve long term stay,https://www.mpo.cz/assets/en/guidepost/for-the-media/press-releases/2019/5/NAIS_eng_web.pdf,,AI in social services in order to facilitate citizens to stay in their natural environment for as long as possible,National,Czech Republic,CZ,,Governmental,2019,,,Social protection,Old age.,Artificial Intelligence,,,,Information analysis processes,Pilot,18
19,case,Service,Corti's AI - Emergency medical services real-time speech analysis for cardiac predictions,,,"Corti’s system is an Artificial Intelligence-based speech analysis of real-time, live emergency medical services calls that makes instant predictions to detect out-of-hospital cardiac arrests with up to 95% accuracy. Used in conjunction with human call-takers and dispatchers, it can significantly reduce error rates and make critical diagnoses faster.
The system is already up and running in Copenhagen with impressive results – which is why The European Emergency Number Association (EENA) is getting involved to extend the project. This project is a year-long joint initiative between Corti and EENA to pilot AI support to improve emergency medical service operations.",National,Denmark,DK,Corti,Private sector,2019,,,Health,Public health services.,Artificial Intelligence,,,,Prediction and planning ,Implemented,19
20,case,Service,Erhvervsstyrelsen - Detection of errors in business statements,https://datacvr.virk.dk/data/offentliggorelse?dl_ref=ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzJlL2U3LzM4LzFkZWUtNGVlYy04YThmLTUzODk3OTlmNjAwMw,,A project by the Danish Business Authority (Erhvervsstyrelsen) to use ML to identify fraud and highlight material errors in financial statements.,National,Denmark,DK,Danish Business Authority,Central-Government,2017,,,Economic affairs,"General economic, commercial and labour affair",Artificial Intelligence,,,,Supporting inspection processes,Implemented,20
