id,name,url,contact,description,geoextent,geocoverage_dirty,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,category,status,social_uptake,policy_uptake,policy_uptake_explanation,policy_relevance,sdg1,sdg2,sdg3,sdg4,sdg5,sdg6,sdg7,sdg8,sdg9,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17
1,pagoPA,https://www.agid.gov.it/it/piattaforme/pagopa,,"pagoPA é un sistema di pagamenti elettronici realizzato per rendere più semplice, sicuro e trasparente qualsiasi pagamento verso la Pubblica Amministrazione.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,"Executive and legislative organs, financial and fiscal affairs, external affairs",Financial and fiscal affairs,Yes,No,API,In production,Considerable,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,IO,https://developers.italia.it/it/io/,,"IO è l’applicazione del Governo italiano che permetterà a tutti i cittadini di usare servizi pubblici nazionali e locali dal proprio smartphone in maniera semplice, moderna e sicura. È un progetto Open Source che crescerà di giorno in giorno, coinvolgendo enti e servizi diversi.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General public services,General public services,Yes,No,API,Pilot,Unknown,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18app e Carta Docente,http://www.sogei.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/1181,,"18app e Carta Docente sono due programmi previsti dalla legge con i quali viene assegnato un bonus economico (€500) a determinate categorie di persone (rispettivamente, tutti i 18enni e i docenti di ruolo) da spendere con specifici vincoli (in cultura e formazione) presso esercenti accreditati.",National,Italy,Italy,Ministero dei Beni e delle Attività Culturali e del Turismo,Governmental,,Yes,,Education,Social protection,Yes,No,API,In production,Considerable,N/A,N/A,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4,ANPR,https://www.anpr.interno.it/portale/,,"Un'unica anagrafe centrale, raggiungibile anche via API, che mantiene le informazioni aggiornate su residenza, stato di famiglia, e molto altro.",National,Italy,Italy,Ministero dell'Interno,Governmental,,Yes,,General public services,General public services,Yes,No,API,In production,Small,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Data & Analytics Framework (DAF),https://teamdigitale.governo.it/en/projects/daf.htm,,"The Data & Analytics Framework (DAF) has the goal of improving and simplifying the interoperability and exchange of data between Public Administrations, promoting and improving the management and usage of Open Data, optimizing activities of analysis and knowledge generation.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General public services,General public services,Yes,No,Data Analytics,Pilot,Unknown,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,dati.gov.it,https://www.dati.gov.it/,,Dati.gov.it e’ il catalogo nazionale dei dati aperti delle pubbliche amministrazioni italiane. Nasce con l’obiettivo di aggregare in un unico portale la maggior parte dei dati aperti esposti dalle varie amministrazioni sia locali che nazionali.,National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General public services,General public services,Yes,No,API,In production,Unknown,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Designers Italia,https://designers.italia.it/,,"Designers Italia è il punto di riferimento per la progettazione dei servizi della Pubblica Amministrazione: linee guida, strumenti, un design system e una community di designer per favorire la collaborazione e promuovere il ruolo dello human-centered design nello sviluppo dei servizi pubblici.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General public services,General public services,Yes,No,API,In production,Unknown,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Develops Italia,https://developers.italia.it/,,"Developers Italia is the community dedicated to the development of Open Source Software to support Italian digital public services. It collects a large amount of libraries and SDK, as well as test environments, code examples and clear documentation aimed at simplifying the integration of the national enabling platforms within digital services.",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General public services,General public services,Yes,No,API,In production,Unknown,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Docs Italia,https://docs.italia.it/,,"Docs Italia is the tool for publishing technical and legal documents, offering to citizens the ability to read and comment easily",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General public services,General public services,Yes,No,API,In production,Unknown,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Fatturazione Elettronica,https://www.fatturapa.gov.it/export/fatturazione/,,Un formato XML per descrivere una fattura: scopri come integrarlo nei tuoi software gestionali.,National,Italy,Italy,Agenzia delle Entrate,Governmental,,Yes,,"Executive and legislative organs, financial and fiscal affairs, external affairs",Financial and fiscal affairs,No,No,API,In production,Very large,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,OTELLO 2.0,https://www.adm.gov.it/portale/o.t.e.l.l.o.-2.0,,OTELLO è la piattaforma dell’Agenzia delle Dogane e dei Monopoli che gestisce il processo che consente ai soggetti extra-UE di ottenere lo sgravio diretto o il rimborso dell’IVA sui beni acquistati sul territorio italiano.,National,Italy,Italy,Agenzia delle Dogane e dei Monopoli,Governmental,,Yes,,"Executive and legislative organs, financial and fiscal affairs, external affairs",Financial and fiscal affairs,No,No,API,In production,Large,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SPID,https://www.spid.gov.it/,,"SPID (Sistema Pubblico di Identità Digitale) è la soluzione che permette ai cittadini italiani di accedere a tutti i servizi online della Pubblica Amministrazione con un’unica Identità Digitale utilizzabile da computer, tablet e smartphone. Il cittadino può ottenere SPID tramite i Gestori di Identità (detti Identity Provider); una volta completata la procedura di verifica, che certifica l’identità del richiedente, vengono rilasciate delle credenziali che consentono l’accesso ai Fornitori di Servizi (detti Service Provider).",National,Italy,Italy,Agenzia per l'Italia Digitale,Governmental,,Yes,,General public services,General public services,Yes,Yes,API,In production,Considerable,N/A,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
