id,name,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
1261,Blockchain pilot - Open Data notarization & change protocol,Other,https://open.wien.gv.at/site/blockchain/,,"In December 2017, the City of Vienna published a unique solution in Europe that secures public administration data with blockchain. Nearly 4,000 open data resources are already being notarized and are publishing clear identifiers on public blockchains.The solution will be extended to all open government data on data.gv.at and will be used throughout Austria. Notarization for data and documents will become a general service ""BLOCKSTEMPEL"" in cooperation with the Austrian Federal Computing Centre.",Local,Austria,City of Vienna,Governmental,,Yes,,General public services,Registration,Yes,No,Blockchain,In production,Unknown
1262,Blockchain pilot - Digital food voucher,Other,https://open.wien.gv.at/site/2-blockchain-pilot-der-stadt-wien-digitale-essensmarke/,,"Employees of the City of Vienna (CoV) receive food tokens in their digital wallets instead of paper food vouche for each working day. These can be redeemed at contract locations that transfer the token to the CoV to receive the value. The idea of the proof of concept is to optimize the whole process.The Proof of Concept will be evaluated. In the following phases of the project the actual implementation and the broad roll-out could take place for about 20,000 City-Vienna employees.",Local,Austria,City of Vienna,Governmental,,Yes,,Social protection,Financial support,No,No,Blockchain,In development,Unknown
2326,"Austrian Federal Government's Finance Agency, Oesterreichische Kontrollbank",Process digitisation,https://www.coindesk.com/austrian-government-to-notarize-1-3-billion-bond-auction-using-ethereum/,,"The Austrian government is to use the ethereum blockchain to notarize the auction of a government bond worth €1.15 billion, or around $1.3 billion. The Federal Government’s Finance Agency (OeBFA) has assigned banking giant Oesterreichische Kontrollbank (OeKB) to carry out the auction on its behalf. The bank’s responsibilities will include deploying the notarisation service to authenticate auction transaction data and subsequently store it on the blockchain, the agency explained.“Blockchain technology offers great potential for increasing efficiency and ensuring the quality of bank processes. Therefore, we have been dealing with this topic intensively for some time now and have already tested several prototypes. Starting the real operation on behalf of OeBFA is a pleasing and logical next step.”",National,Austria,Finance Agency,Governmental,2018,Yes,,Financial and fiscal affairs,Registration,No,No,Blockchain,In development,Unknown
1412,BeSure - Demonstrability Service,Other,https://medium.com/@cryptovnet/besure-a-realistic-blockchain-case-for-the-belgian-government-c5b8c62dff38,,"An analysis and PoC have been made for a demonstrability service. It generates long-term proofs that a digital document has been sent and that it has been received, without relying on central parties. Strong security & privacy requirements were paramount. Offering strong evidence with legal value that certain actions happened or did not happen.",National,Belgium,Smals Research,Governmental,2018,Yes,,General public services,Certification,Yes,No,Blockchain,In development,Unknown
1438,FlowBikes,Other,https://flowbikes.io/,,"Rewarding children who go to school by foot/bike with tokens that are usable at the local fair or shops. Collaboration between local governement, school and Belfius Bank.Create a safer school environment Guide children over the safest roads to school.",National,Belgium,Belfius Bank & Insurance,Private,2018,Yes,,Social protection,Financial support,No,No,Blockchain,In production,Unknown
1544,A digital talent profile for maximum development,Self Sovereign - digital identity,https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,,"The city of Antwerp is using the digital talent profile using blockchain to collect all the children’s talents and passions. Children can therefore make their own decisions as to who they would like to share which talents with and for how long. The digital talent profile will be implemented in a number of schools in Antwerp within the context of A’REA 2020. A’REA 2020’s global ambition is for children to be able to progress onto a professional career, based on their talents and passions.",Local,Belgium,City of Antwerp,Governmental,2018,Yes,,Education,Certification,No,No,Blockchain,In production,Unknown
1545,Privacy engine Antwerp City Platform as a Service,Self Sovereign - digital identity,https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,,"This ACPaaS Privacy engine uses blockchain technology. It’s an innovative concept, whereby the engine functions as a gateway or middleware and subsequently protects all privacy-sensitive services and data.The Privacy engine ensures all privacy rules are respected and that applications satisfy the GDPR regulations. If a citizen grants his permission (i.e. consent), blockchain will guarantee the unaltered and irrefutable consent for the use of this data until the citizen withdraws his consent.",Local,Belgium,Digipolis Antwerpen,Governmental,2018,Yes,,General public services,Certification,Yes,No,Blockchain,In production,Unknown
1546,Smart Procurement tool: innovative purchasing procedure supported by blockchain,Disintermediation and decentralized networks,https://antwerpen.digipolis.be,,We are striving to optimally frame our innovative purchasing procedure. Therefore we are developing a blockchain-based application which will allow for a simple publication of a quotation request and and submission and opening of quotations.We would like to support our innovative buy from startups procurement process with an intuitive and future-proof tool.,Local,Belgium,Digipolis Antwerpen,Governmental,2018,Yes,,Financial and fiscal affairs,Procurement,No,No,Blockchain,In development,Unknown
785,i-Voting,Governance and voting,https://e-estonia.com/solutions/e-governance/,,"i-Voting is a unique solution that simply and conveniently helps to engage people in the governance process. In 2005, Estonia became the first country in the world to hold nation-wide elections using this method, and in 2007, it made headlines as the first country to use i-Voting in parliamentary elections. Internet voting, or i-Voting, is a system that allows voters to cast their ballots from any internet-connected computer anywhere in the world. Completely unrelated to the electronic voting systems used elsewhere, which involve costly and problematic machinery, the Estonian solution is simple, elegant and secure. During a designated pre-voting period, the voter logs onto the system using an ID-card or Mobile-ID, and casts a ballot. The voter’s identity is removed from the ballot before it reaches the National Electoral Commission for counting, thereby ensuring anonymity. With any method of remote voting, including traditional postal ballots, the possibility of votes being forced or bought is a concern. Estonia’s solution was to allow voters to log on and vote as many times as they want during the pre-voting period. Since each vote cancels the last, a voter always has the option of changing his or her vote later. In the case of i-Voting, the cumulative time saved in the last Estonian elections was 11,000 working days.",National,Estonia,E-Estonia E-Governance,Governmental,,Yes,,General public services,Control and monitoring,No,No,Blockchain,In production,Unknown
786,X-Road Interoperability Services,Authentication,https://e-estonia.com/solutions/security-and-safety/,,"X-Road is the backbone of e-Estonia. Invisible yet crucial, it allows the nation’s various public and private sector e-Service databases to link up and function in harmony. Estonia’s e-solution environment includes a full range of services for the general public, and since each service has its own databases they all use X-Road. To ensure secure transfers, all outgoing data from X-Road is digitally signed and encrypted, and all incoming data is authenticated and logged. Originally X-Road was simply used to send queries to different databases. Now it has developed into a tool that can also write to multiple databases, transmit large data sets and perform searches across several databases simultaneously. X-Road was designed with growth in mind, so it can be scaled up as new e-services and new platforms come online.",National,Estonia,E-Estonia,Governmental,,Yes,,General public services,Service integration,Yes,No,Blockchain,In production,Unknown
