,name,description,url,geoextent,geocoverage,lead_organization_name,lead_organization_category,start_date,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
0,General Services Administration Blockchain Project,"The US General Services Administration commissioned a proof of concept in 2017 to demonstrate how blockchain could modernize federal procurement processes. Specifically, it sought to automate the review process for its FAstlane program. Smart contracts were deployed to automatically calculate the financial health score from vendors' balance sheets. The proof of concept also incorporated machine learning and robotic process automation to speed the collection and evaluation of information. Now, the organization is planning to scale up the application of these technologies to the entire 'Multiple Schedule Awards' program, of which 'FAstLane was a part. ",https://gcn.com/articles/2018/11/15/gsa-blockchain-mas.aspx,National,USA,,Unknown,,,,,,,Blockchain,In development,Unknown
1,"Aragon General Directorate of Contracting, Blockchain Project","As part of a larger project aiming to use blockchain in order to transform public administration and the provision of public services, the  General Directorate of Contracting within the Government of Aragon has launched a project in which blockchain will be used to register the bids received for public contracts and evaluate them in an automated ways.",https://www.europapress.es/aragon/noticia-aragon-pionera-apostar-tecnologia-blockchain-integrandose-asociacion-alastria-20180917130921.html,National,Spain,,Unknown,,,,,,,Blockchain,In development,Unknown
2,Basque Government Blockchain project,The city of Bilbao has launched a tender to get ideas for the implementation of blockchain in public services. The winning company would prepare a digital platform to facilitate the exchange of data between different public institutions by using blockchain and smart contracts.,https://cointelegraph.com/news/spanish-city-of-bilbao-launches-171k-tender-to-develop-public-blockchain-network,National,Spain,,Unknown,,,,,,,Blockchain,In development,Unknown
3,Yeongdeungpo-gu district Proposal Evaluation System,The district of Yeongdeungpo-gu successfully implemented a blockchain based proposal evaluation system for assessing responses to public tenders. The proposed system is intended to enhance the transparency and trustworthiness of the system. The tool will be used for all evaluations in the district in 2019 and may be expanded to other local governments depending on progress.  ,https://www.ledgerinsights.com/seoul-district-using-blockchain-for-public-procurement/,National,South Korea,,Unknown,,,,,,,Blockchain,Pilot,Unknown
4,Seoul Municipal government Blockchain project,The city plans to apply blockchain technology to power fourteen different administrative services. One of the uses cases is automated payment of subcontractors for the construction contracts ordered by the Seoul metropolitan government. The city plans to establish an electronic contract between involved parties so that subcontractors are automatically paid according to the contract.,https://www.coindeskkorea.com/%EB%B0%95%EC%9B%90%EC%88%9C-%EC%84%9C%EC%9A%B8%EC%8B%9C%EC%9E%A5%EC%9D%B4-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-%EB%8F%84%EC%8B%9C-%EA%B3%84%ED%9A%8D%EC%9D%84-,National,South Korea,,Unknown,,,,,,,Blockchain,In development,Unknown
5,Vnesheconombank (VEB) Blockchain project,"VEB, Russia's state-owned development bank partnered with e-procurement resource platform Roseltorg on a blockchain project that aims to build a platform for transparent electronic transactions between government departments and businesses. The platform is intended for uses including project monitoring, electronic contracting, e-contract fulfilment, and tracing supply chains. In particular it is believed that the new system will ensure improved document exchange quality and greater document confidentiality. ",https://вэб.рф/en/press-center/35517/,National,Russia,,Unknown,,,,,,,Blockchain,In development,Unknown
6,Department of Budget and Management Blockchain Project,The department of Budget and Management is making use of blockchain technology in order to record stock of common and non-common supplies under the Warehousing and Inventory Management Systems (WIMS) of the Procurement Service,https://govinsider.asia/digital-gov/exclusive-philippines-announces-plans-for-blockchain-in-budget/,National,Philippines,,Unknown,,,,,,,Blockchain,In development,Unknown
7,Ministry of Public Administration Blockchain HACKMAX,"Under the Blockchain HackMax initiative, the government aims to deploy the blockchain technology to track bids for public contracts in its public procurement process. Separate smart contracts will be created on the blockchain for each phase of the procurement process. Under the first contract, the buyer unit is registered (the government department which is procuring), under the second contract suppliers will register and their information stored on the blockchain. Under the third contract the information provided will be verified. The fourth contract keeps the information stored on the blockchain until the outcome of the tender, while the final contract assesses the proposals against the criteria and gives the project to the winner.",https://coindoo.com/mexico-directs-first-public-tender-using-blockchain/,National,Mexico,,Unknown,,,,,,,Blockchain,In development,Unknown
8,Ministry of Internal Affairs and Communications Blockchain Project,Japan trialled the use of blockchain technology for processing government tenders in fiscal year 2017. The system aimed to remove the need for businesses participating in tenders to gather certain official documents such as tax payment certificates themselves and submit them. Instead the tendering agency would be able to gather the information directly over the blockchain. ,https://un-blockchain.org/tag/japan/,National,Japan,,Unknown,,,,,,,Blockchain,Pilot,Unknown
9,ChileCompra Blockchain Project,ChileCompra is collaborating with the Inter-American development Bank to test the application of blockchain technology in their public procurement system through a pilot project on the procurement platform - www.mercdopublico.cl. The blockchain technology will be used to provide a greater degree of transparency and certify that documents submitted in relation to the tendering process have not been altered. ,https://www.chilecompra.cl/2018/07/chilecompra-inicia-proyecto-piloto-para-el-uso-de-la-herramienta-blockchain-en-compras-publicas/,National,Chile,,Unknown,,,,,,,Blockchain,Pilot,Unknown
